Column 1;Column 2 (V/s);Column 3 (V);Index;Time (s);Potential applied (V);WE(1).Current (A)
1.6;0.005;0.0002;1;2336.35666810127;-0.899810791015625;-0.001163330078125
;;;2;2336.38718610119;-0.899658203125;-0.00116363525390625
;;;3;2336.41770410111;-0.899505615234375;-0.00116455078125
;;;4;2336.44822210104;-0.89935302734375;-0.0011651611328125
;;;5;2336.47874010096;-0.899200439453125;-0.00116455078125
;;;6;2336.50925810088;-0.8990478515625;-0.0011639404296875
;;;7;2336.5397761008;-0.898895263671875;-0.001163330078125
;;;8;2336.57029410073;-0.89874267578125;-0.001163330078125
;;;9;2336.60081210065;-0.898590087890625;-0.0011627197265625
;;;10;2336.63133010057;-0.8984375;-0.0011614990234375
;;;11;2336.6618481005;-0.898284912109375;-0.0011602783203125
;;;12;2336.69236610042;-0.89813232421875;-0.00115997314453125
;;;13;2336.72288410034;-0.897979736328125;-0.001160888671875
;;;14;2336.75340210026;-0.8978271484375;-0.00116241455078125
;;;15;2336.78392010019;-0.897674560546875;-0.0011627197265625
;;;16;2336.81443810011;-0.89752197265625;-0.00116302490234375
;;;17;2336.84495610003;-0.897369384765625;-0.00116241455078125
;;;18;2336.87547409996;-0.897216796875;-0.00116119384765625
;;;19;2336.90599209988;-0.897064208984375;-0.00116119384765625
;;;20;2336.9365100998;-0.89691162109375;-0.001160888671875
;;;21;2336.96702809973;-0.896759033203125;-0.00115997314453125
;;;22;2336.99754609965;-0.8966064453125;-0.00115875244140625
;;;23;2337.02806409957;-0.896453857421875;-0.00115814208984375
;;;24;2337.05858209949;-0.89630126953125;-0.001158447265625
;;;25;2337.08910009942;-0.896148681640625;-0.00115997314453125
;;;26;2337.11961809934;-0.89599609375;-0.00116119384765625
;;;27;2337.15013609926;-0.895843505859375;-0.00116119384765625
;;;28;2337.18065409919;-0.89569091796875;-0.001160888671875
;;;29;2337.21117209911;-0.895538330078125;-0.00116058349609375
;;;30;2337.24169009903;-0.8953857421875;-0.00115966796875
;;;31;2337.27220809896;-0.895233154296875;-0.0011590576171875
;;;32;2337.30272609888;-0.89508056640625;-0.0011590576171875
;;;33;2337.3332440988;-0.894927978515625;-0.0011590576171875
;;;34;2337.36376209872;-0.894775390625;-0.00115875244140625
;;;35;2337.39428009865;-0.894622802734375;-0.00115814208984375
;;;36;2337.42479809857;-0.89447021484375;-0.00115753173828125
;;;37;2337.45531609849;-0.894317626953125;-0.00115753173828125
;;;38;2337.48583409842;-0.8941650390625;-0.00115814208984375
;;;39;2337.51635209834;-0.894012451171875;-0.001158447265625
;;;40;2337.54687009826;-0.89385986328125;-0.0011590576171875
;;;41;2337.57738809818;-0.893707275390625;-0.001158447265625
;;;42;2337.60790609811;-0.8935546875;-0.00115753173828125
;;;43;2337.63842409803;-0.893402099609375;-0.00115753173828125
;;;44;2337.66894209795;-0.89324951171875;-0.001158447265625
;;;45;2337.69946009788;-0.893096923828125;-0.00115936279296875
;;;46;2337.7299780978;-0.8929443359375;-0.0011590576171875
;;;47;2337.76049609772;-0.892791748046875;-0.0011572265625
;;;48;2337.79101409765;-0.89263916015625;-0.001156005859375
;;;49;2337.82153209757;-0.892486572265625;-0.001156005859375
;;;50;2337.85205009749;-0.892333984375;-0.00115692138671875
;;;51;2337.88256809741;-0.892181396484375;-0.0011578369140625
;;;52;2337.91308609734;-0.89202880859375;-0.00115753173828125
;;;53;2337.94360409726;-0.891876220703125;-0.0011566162109375
;;;54;2337.97412209718;-0.8917236328125;-0.0011566162109375
;;;55;2338.00464009711;-0.891571044921875;-0.00115753173828125
;;;56;2338.03515809703;-0.89141845703125;-0.00115875244140625
;;;57;2338.06567609695;-0.891265869140625;-0.001158447265625
;;;58;2338.09619409687;-0.89111328125;-0.0011572265625
;;;59;2338.1267120968;-0.890960693359375;-0.0011566162109375
;;;60;2338.15723009672;-0.89080810546875;-0.00115478515625
;;;61;2338.18774809664;-0.890655517578125;-0.00115478515625
