Column 1;Column 2 (V);Index;Corrected time (s);WE(1).Current (A)
0.8;0.023;1;0;-0.00035589599609375
;;2;0.999999997475243;-0.000353729248046875
;;3;1.99999999495049;-0.000351898193359375
;;4;2.99999999242573;-0.000350616455078125
;;5;3.99999998990097;-0.000348907470703125
;;6;4.99999998737621;-0.000347320556640625
;;7;5.99999998485146;-0.0003463134765625
;;8;6.9999999823267;-0.00034515380859375
;;9;7.99999997980194;-0.0003433837890625
;;10;8.99999997727718;-0.000342315673828125
;;11;9.99999997475243;-0.000341217041015625
;;12;10.9999999722277;-0.000339813232421875
;;13;11.9999999697029;-0.000338592529296875
;;14;12.9999999671782;-0.000337554931640625
;;15;13.9999999646534;-0.0003367919921875
;;16;14.9999999621286;-0.00033514404296875
;;17;15.9999999596039;-0.000334320068359375
;;18;16.9999999570791;-0.000333282470703125
;;19;17.9999999545544;-0.000331939697265625
;;20;18.9999999520296;-0.000331024169921875
;;21;19.9999999495049;-0.000330108642578125
;;22;20.9999999469801;-0.000328765869140625
;;23;21.9999999444553;-0.0003277587890625
;;24;22.9999999419306;-0.000327056884765625
;;25;23.9999999394058;-0.000325897216796875
;;26;24.9999999368811;-0.00032476806640625
;;27;25.9999999343563;-0.000324005126953125
;;28;26.9999999318316;-0.000323089599609375
;;29;27.9999999293068;-0.000321990966796875
;;30;28.999999926782;-0.00032110595703125
