Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range
0.005035400390625;535.352178648366;-6.0577392578125E-05;1;1;0.00128923384007066;-0.0013777187699452;1 mA
0.01007080078125;535.402532648239;-2.77984619140625E-05;1;2;0.00128923384007066;-0.0013777187699452;1 mA
0.015106201171875;535.452886648111;-1.1236572265625E-05;1;3;0.00128923384007066;-0.0013777187699452;1 mA
0.0201416015625;535.503240647984;-9.88769531250003E-07;1;4;0.00128923384007066;-0.0013777187699452;1 mA
0.025177001953125;535.553594647857;5.8441162109375E-06;1;5;0.00128923384007066;-0.0013777187699452;1 mA
0.03021240234375;535.60394864773;1.053466796875E-05;1;6;0.00128923384007066;-0.0013777187699452;1 mA
0.035247802734375;535.654302647603;1.42578125E-05;1;7;0.00128923384007066;-0.0013777187699452;1 mA
0.040283203125;535.704656647476;1.7169189453125E-05;1;8;0.00128923384007066;-0.0013777187699452;1 mA
0.045318603515625;535.755010647349;1.95831298828125E-05;1;9;0.00128923384007066;-0.0013777187699452;1 mA
0.05035400390625;535.805364647222;2.176513671875E-05;1;10;0.00128923384007066;-0.0013777187699452;1 mA
0.055389404296875;535.855718647094;2.3468017578125E-05;1;11;0.00128923384007066;-0.0013777187699452;1 mA
0.0604248046875;535.906072646967;2.51708984375E-05;1;12;0.00128923384007066;-0.0013777187699452;1 mA
0.065460205078125;535.95642664684;2.67974853515625E-05;1;13;0.00128923384007066;-0.0013777187699452;1 mA
0.07049560546875;536.006780646713;2.833251953125E-05;1;14;0.00128923384007066;-0.0013777187699452;1 mA
0.075531005859375;536.057134646586;2.98095703125E-05;1;15;0.00128923384007066;-0.0013777187699452;1 mA
0.08056640625;536.107488646459;3.12103271484375E-05;1;16;0.00128923384007066;-0.0013777187699452;1 mA
0.085601806640625;536.157842646332;3.2550048828125E-05;1;17;0.00128923384007066;-0.0013777187699452;1 mA
0.09063720703125;536.208196646204;3.4161376953125E-05;1;18;0.00128923384007066;-0.0013777187699452;1 mA
0.095672607421875;536.258550646077;3.55499267578125E-05;1;19;0.00128923384007066;-0.0013777187699452;1 mA
0.1007080078125;536.30890464595;3.7103271484375E-05;1;20;0.00128923384007066;-0.0013777187699452;1 mA
0.105743408203125;536.359258645823;3.86810302734375E-05;1;21;0.00128923384007066;-0.0013777187699452;1 mA
0.11077880859375;536.409612645696;4.0374755859375E-05;1;22;0.00128923384007066;-0.0013777187699452;1 mA
0.115814208984375;536.459966645569;4.2034912109375E-05;1;23;0.00128923384007066;-0.0013777187699452;1 mA
0.120849609375;536.510320645442;4.393310546875E-05;1;24;0.00128923384007066;-0.0013777187699452;1 mA
0.125885009765625;536.560674645315;4.5648193359375E-05;1;25;0.00128923384007066;-0.0013777187699452;1 mA
0.13092041015625;536.611028645187;4.7698974609375E-05;1;26;0.00128923384007066;-0.0013777187699452;1 mA
0.135955810546875;536.66138264506;4.974365234375E-05;1;27;0.00128923384007066;-0.0013777187699452;1 mA
0.1409912109375;536.711736644933;5.2001953125E-05;1;28;0.00128923384007066;-0.0013777187699452;1 mA
0.146026611328125;536.762090644806;5.43212890625E-05;1;29;0.00128923384007066;-0.0013777187699452;1 mA
0.15106201171875;536.812444644679;5.6854248046875E-05;1;30;0.00128923384007066;-0.0013777187699452;1 mA
0.156097412109375;536.862798644552;5.9600830078125E-05;1;31;0.00128923384007066;-0.0013777187699452;1 mA
0.1611328125;536.913152644425;6.23779296875E-05;1;32;0.00128923384007066;-0.0013777187699452;1 mA
0.166168212890625;536.963506644297;6.549072265625E-05;1;33;0.00128923384007066;-0.0013777187699452;1 mA
0.17120361328125;537.01386064417;6.8389892578125E-05;1;34;0.00128923384007066;-0.0013777187699452;1 mA
0.176239013671875;537.064214644043;7.1746826171875E-05;1;35;0.00128923384007066;-0.0013777187699452;1 mA
0.1812744140625;537.114568643916;7.525634765625E-05;1;36;0.00128923384007066;-0.0013777187699452;1 mA
0.186309814453125;537.164922643789;7.879638671875E-05;1;37;0.00128923384007066;-0.0013777187699452;1 mA
0.19134521484375;537.215276643662;8.26416015625E-05;1;38;0.00128923384007066;-0.0013777187699452;1 mA
0.196380615234375;537.265630643535;8.6578369140625E-05;1;39;0.00128923384007066;-0.0013777187699452;1 mA
0.201416015625;537.315984643408;9.039306640625E-05;1;40;0.00128923384007066;-0.0013777187699452;1 mA
0.206451416015625;537.36633864328;9.43603515625E-05;1;41;0.00128923384007066;-0.0013777187699452;1 mA
0.21148681640625;537.416692643153;9.8297119140625E-05;1;42;0.00128923384007066;-0.0013777187699452;1 mA
0.216522216796875;537.467046643026;0.00010211181640625;1;43;0.00128923384007066;-0.0013777187699452;1 mA
0.2215576171875;537.517400642899;0.000105987548828125;1;44;0.00128923384007066;-0.0013777187699452;1 mA
0.226593017578125;537.567754642772;0.00010980224609375;1;45;0.00128923384007066;-0.0013777187699452;1 mA
0.23162841796875;537.618108642645;0.000113555908203125;1;46;0.00128923384007066;-0.0013777187699452;1 mA
0.236663818359375;537.668462642518;0.00011700439453125;1;47;0.00128923384007066;-0.0013777187699452;1 mA
0.24169921875;537.71881664239;0.0001204833984375;1;48;0.00128923384007066;-0.0013777187699452;1 mA
0.246734619140625;537.769170642263;0.000123931884765625;1;49;0.00128923384007066;-0.0013777187699452;1 mA
0.25177001953125;537.819524642136;0.000126983642578125;1;50;0.00128923384007066;-0.0013777187699452;1 mA
0.256805419921875;537.869878642009;0.000130035400390625;1;51;0.00128923384007066;-0.0013777187699452;1 mA
