Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range;User events
0.005035400390625;42.6233638923864;6.5399169921875E-05;1;1;0.00427364471834153;-0.00209878832101822;1 mA;
0.01007080078125;42.8751338917507;6.1859130859375E-05;1;2;0.00427364471834153;-0.00209878832101822;1 mA;
0.015106201171875;43.126903891115;5.853271484375E-05;1;3;0.00427364471834153;-0.00209878832101822;1 mA;
0.0201416015625;43.3786738904794;5.5572509765625E-05;1;4;0.00427364471834153;-0.00209878832101822;1 mA;
0.025177001953125;43.6304438898437;5.3009033203125E-05;1;5;0.00427364471834153;-0.00209878832101822;1 mA;
0.03021240234375;43.8822138892081;5.096435546875E-05;1;6;0.00427364471834153;-0.00209878832101822;1 mA;
0.035247802734375;44.1339838885724;4.91943359375E-05;1;7;0.00427364471834153;-0.00209878832101822;1 mA;
0.040283203125;44.3857538879367;4.78515625E-05;1;8;0.00427364471834153;-0.00209878832101822;1 mA;
0.045318603515625;44.6375238873011;4.68170166015625E-05;1;9;0.00427364471834153;-0.00209878832101822;1 mA;
0.05035400390625;44.8892938866654;4.6075439453125E-05;1;10;0.00427364471834153;-0.00209878832101822;1 mA;
0.055389404296875;45.1410638860298;4.52362060546875E-05;1;11;0.00427364471834153;-0.00209878832101822;1 mA;
0.0604248046875;45.3928338853941;4.4769287109375E-05;1;12;0.00427364471834153;-0.00209878832101822;1 mA;
0.065460205078125;45.6446038847585;4.4482421875E-05;1;13;0.00427364471834153;-0.00209878832101822;1 mA;
0.07049560546875;45.8963738841228;4.42291259765625E-05;1;14;0.00427364471834153;-0.00209878832101822;1 mA;
0.075531005859375;46.1481438834871;4.39483642578125E-05;1;15;0.00427364471834153;-0.00209878832101822;1 mA;
0.08056640625;46.3999138828515;4.39300537109375E-05;1;16;0.00427364471834153;-0.00209878832101822;1 mA;
0.085601806640625;46.6516838822158;4.393310546875E-05;1;17;0.00427364471834153;-0.00209878832101822;1 mA;
0.09063720703125;46.9034538815802;4.3927001953125E-05;1;18;0.00427364471834153;-0.00209878832101822;1 mA;
0.095672607421875;47.1552238809445;4.38690185546875E-05;1;19;0.00427364471834153;-0.00209878832101822;1 mA;
0.1007080078125;47.4069938803088;4.3988037109375E-05;1;20;0.00427364471834153;-0.00209878832101822;1 mA;
0.105743408203125;47.6587638796732;4.3902587890625E-05;1;21;0.00427364471834153;-0.00209878832101822;1 mA;
0.11077880859375;47.9105338790375;4.3902587890625E-05;1;22;0.00427364471834153;-0.00209878832101822;1 mA;
0.115814208984375;48.1623038784019;4.38232421875E-05;1;23;0.00427364471834153;-0.00209878832101822;1 mA;
0.120849609375;48.4140738777662;4.384765625E-05;1;24;0.00427364471834153;-0.00209878832101822;1 mA;
0.125885009765625;48.6658438771306;4.378662109375E-05;1;25;0.00427364471834153;-0.00209878832101822;1 mA;
0.13092041015625;48.9176138764949;4.40643310546875E-05;1;26;0.00427364471834153;-0.00209878832101822;1 mA;
0.135955810546875;49.1693838758592;4.3939208984375E-05;1;27;0.00427364471834153;-0.00209878832101822;1 mA;
0.1409912109375;49.4211538752236;4.3878173828125E-05;1;28;0.00427364471834153;-0.00209878832101822;1 mA;
0.146026611328125;49.6729238745879;4.3914794921875E-05;1;29;0.00427364471834153;-0.00209878832101822;1 mA;
0.15106201171875;49.9246938739523;4.3963623046875E-05;1;30;0.00427364471834153;-0.00209878832101822;1 mA;
0.156097412109375;50.1764638733166;4.40032958984375E-05;1;31;0.00427364471834153;-0.00209878832101822;1 mA;
0.1611328125;50.4282338726809;4.40948486328125E-05;1;32;0.00427364471834153;-0.00209878832101822;1 mA;
0.166168212890625;50.6800038720453;4.42596435546875E-05;1;33;0.00427364471834153;-0.00209878832101822;1 mA;
0.17120361328125;50.9317738714096;4.43206787109375E-05;1;34;0.00427364471834153;-0.00209878832101822;1 mA;
0.176239013671875;51.183543870774;4.43328857421875E-05;1;35;0.00427364471834153;-0.00209878832101822;1 mA;
0.1812744140625;51.4353138701383;4.44976806640625E-05;1;36;0.00427364471834153;-0.00209878832101822;1 mA;
0.186309814453125;51.6870838695027;4.46014404296875E-05;1;37;0.00427364471834153;-0.00209878832101822;1 mA;
0.19134521484375;51.938853868867;4.47906494140625E-05;1;38;0.00427364471834153;-0.00209878832101822;1 mA;
0.196380615234375;52.1906238682313;4.493408203125E-05;1;39;0.00427364471834153;-0.00209878832101822;1 mA;
0.201416015625;52.4423938675957;4.5098876953125E-05;1;40;0.00427364471834153;-0.00209878832101822;1 mA;
0.196380615234375;52.69416386696;3.502197265625E-05;1;41;0.00427364471834153;-0.00209878832101822;1 mA;
0.19134521484375;52.9459338663244;2.81768798828125E-05;1;42;0.00427364471834153;-0.00209878832101822;1 mA;
0.186309814453125;53.1977038656887;2.3187255859375E-05;1;43;0.00427364471834153;-0.00209878832101822;1 mA;
0.1812744140625;53.4494738650531;1.95098876953125E-05;1;44;0.00427364471834153;-0.00209878832101822;1 mA;
0.176239013671875;53.7012438644174;1.651611328125E-05;1;45;0.00427364471834153;-0.00209878832101822;1 mA;
0.17120361328125;53.9530138637817;1.409912109375E-05;1;46;0.00427364471834153;-0.00209878832101822;1 mA;
0.166168212890625;54.2047838631461;1.22039794921875E-05;1;47;0.00427364471834153;-0.00209878832101822;1 mA;
0.1611328125;54.4565538625104;1.0675048828125E-05;1;48;0.00427364471834153;-0.00209878832101822;1 mA;
0.156097412109375;54.7083238618748;9.26513671875E-06;1;49;0.00427364471834153;-0.00209878832101822;1 mA;
0.15106201171875;54.9600938612391;8.15429687499999E-06;1;50;0.00427364471834153;-0.00209878832101822;1 mA;
0.146026611328125;55.2118638606034;7.11669921874999E-06;1;51;0.00427364471834153;-0.00209878832101822;1 mA;
0.1409912109375;55.4636338599678;6.24694824218749E-06;1;52;0.00427364471834153;-0.00209878832101822;1 mA;
0.135955810546875;55.7154038593321;5.474853515625E-06;1;53;0.00427364471834153;-0.00209878832101822;1 mA;
0.13092041015625;55.9671738586965;4.8980712890625E-06;1;54;0.00427364471834153;-0.00209878832101822;1 mA;
0.125885009765625;56.2189438580608;4.24804687499999E-06;1;55;0.00427364471834153;-0.00209878832101822;1 mA;
0.120849609375;56.4707138574252;3.66821289062499E-06;1;56;0.00427364471834153;-0.00209878832101822;1 mA;
0.115814208984375;56.7224838567895;3.22570800781249E-06;1;57;0.00427364471834153;-0.00209878832101822;1 mA;
0.11077880859375;56.9742538561538;2.7587890625E-06;1;58;0.00427364471834153;-0.00209878832101822;1 mA;
0.105743408203125;57.2260238555182;2.2705078125E-06;1;59;0.00427364471834153;-0.00209878832101822;1 mA;
0.1007080078125;57.4777938548825;1.953125E-06;1;60;0.00427364471834153;-0.00209878832101822;1 mA;
0.095672607421875;57.7295638542469;1.56555175781251E-06;1;61;0.00427364471834153;-0.00209878832101822;1 mA;
0.09063720703125;57.9813338536112;1.13525390624999E-06;1;62;0.00427364471834153;-0.00209878832101822;1 mA;
0.085601806640625;58.2331038529755;8.57543945312497E-07;1;63;0.00427364471834153;-0.00209878832101822;1 mA;
0.08056640625;58.4848738523399;6.04248046875006E-07;1;64;0.00427364471834153;-0.00209878832101822;1 mA;
0.075531005859375;58.7366438517042;1.12915039062494E-07;1;65;0.00427364471834153;-0.00209878832101822;1 mA;
0.07049560546875;58.9884138510686;-1.73950195312494E-07;1;66;0.00427364471834153;-0.00209878832101822;1 mA;
0.065460205078125;59.2401838504329;-5.27954101562506E-07;1;67;0.00427364471834153;-0.00209878832101822;1 mA;
0.0604248046875;59.4919538497973;-9.67407226562494E-07;1;68;0.00427364471834153;-0.00209878832101822;1 mA;
0.055389404296875;59.7437238491616;-1.3153076171875E-06;1;69;0.00427364471834153;-0.00209878832101822;1 mA;
0.05035400390625;59.9954938485259;-1.82189941406249E-06;1;70;0.00427364471834153;-0.00209878832101822;1 mA;
0.045318603515625;60.2472638478903;-2.301025390625E-06;1;71;0.00427364471834153;-0.00209878832101822;1 mA;
0.040283203125;60.4990338472546;-2.886962890625E-06;1;72;0.00427364471834153;-0.00209878832101822;1 mA;
0.035247802734375;60.750803846619;-3.60717773437499E-06;1;73;0.00427364471834153;-0.00209878832101822;1 mA;
0.03021240234375;61.0025738459833;-4.31213378906251E-06;1;74;0.00427364471834153;-0.00209878832101822;1 mA;
0.025177001953125;61.2543438453476;-5.17578125E-06;1;75;0.00427364471834153;-0.00209878832101822;1 mA;
0.0201416015625;61.506113844712;-6.11572265625E-06;1;76;0.00427364471834153;-0.00209878832101822;1 mA;
