Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range
-0.695037841796875;3135.1529030845;2.62451171874997E-07;1;1;0.00150286694057286;-0.00065041889436543;1 mA
-0.69000244140625;3135.25361108425;6.65283203125006E-07;1;2;0.00150286694057286;-0.00065041889436543;1 mA
-0.684967041015625;3135.35431908399;9.49096679687497E-07;1;3;0.00150286694057286;-0.00065041889436543;1 mA
-0.679931640625;3135.45502708374;1.239013671875E-06;1;4;0.00150286694057286;-0.00065041889436543;1 mA
-0.674896240234375;3135.55573508348;1.45568847656249E-06;1;5;0.00150286694057286;-0.00065041889436543;1 mA
-0.66986083984375;3135.65644308323;1.6510009765625E-06;1;6;0.00150286694057286;-0.00065041889436543;1 mA
-0.664825439453125;3135.75715108297;1.83715820312499E-06;1;7;0.00150286694057286;-0.00065041889436543;1 mA
-0.6597900390625;3135.85785908272;1.9561767578125E-06;1;8;0.00150286694057286;-0.00065041889436543;1 mA
-0.654754638671875;3135.95856708247;2.1514892578125E-06;1;9;0.00150286694057286;-0.00065041889436543;1 mA
-0.64971923828125;3136.05927508221;2.2308349609375E-06;1;10;0.00150286694057286;-0.00065041889436543;1 mA
-0.644683837890625;3136.15998308196;2.3529052734375E-06;1;11;0.00150286694057286;-0.00065041889436543;1 mA
-0.6396484375;3136.2606910817;2.545166015625E-06;1;12;0.00150286694057286;-0.00065041889436543;1 mA
-0.634613037109375;3136.36139908145;2.63366699218751E-06;1;13;0.00150286694057286;-0.00065041889436543;1 mA
-0.62957763671875;3136.46210708119;2.7435302734375E-06;1;14;0.00150286694057286;-0.00065041889436543;1 mA
-0.624542236328125;3136.56281508094;2.81677246093751E-06;1;15;0.00150286694057286;-0.00065041889436543;1 mA
-0.6195068359375;3136.66352308069;2.899169921875E-06;1;16;0.00150286694057286;-0.00065041889436543;1 mA
-0.614471435546875;3136.76423108043;3.06091308593751E-06;1;17;0.00150286694057286;-0.00065041889436543;1 mA
-0.60943603515625;3136.86493908018;3.06396484375E-06;1;18;0.00150286694057286;-0.00065041889436543;1 mA
-0.604400634765625;3136.96564707992;3.17993164062499E-06;1;19;0.00150286694057286;-0.00065041889436543;1 mA
-0.599365234375;3137.06635507967;3.24096679687499E-06;1;20;0.00150286694057286;-0.00065041889436543;1 mA
-0.594329833984375;3137.16706307941;3.4027099609375E-06;1;21;0.00150286694057286;-0.00065041889436543;1 mA
-0.58929443359375;3137.26777107916;3.47900390625E-06;1;22;0.00150286694057286;-0.00065041889436543;1 mA
-0.584259033203125;3137.36847907891;3.57666015624999E-06;1;23;0.00150286694057286;-0.00065041889436543;1 mA
-0.5792236328125;3137.46918707865;3.6163330078125E-06;1;24;0.00150286694057286;-0.00065041889436543;1 mA
-0.574188232421875;3137.5698950784;3.7567138671875E-06;1;25;0.00150286694057286;-0.00065041889436543;1 mA
-0.56915283203125;3137.67060307814;3.76281738281251E-06;1;26;0.00150286694057286;-0.00065041889436543;1 mA
-0.564117431640625;3137.77131107789;3.8299560546875E-06;1;27;0.00150286694057286;-0.00065041889436543;1 mA
-0.55908203125;3137.87201907763;3.955078125E-06;1;28;0.00150286694057286;-0.00065041889436543;1 mA
