Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range
-0.79498291015625;37.2062749060632;-0.000216033935546875;1;1;0.00581862305290997;-0.000327271828427911;1 mA
-0.789947509765625;37.3069829058089;-0.00013287353515625;1;2;0.00581862305290997;-0.000327271828427911;1 mA
-0.784912109375;37.4076909055547;-9.21630859375E-05;1;3;0.00581862305290997;-0.000327271828427911;1 mA
-0.779876708984375;37.5083989053004;-6.8023681640625E-05;1;4;0.00581862305290997;-0.000327271828427911;1 mA
-0.77484130859375;37.6091069050461;-5.2001953125E-05;1;5;0.00581862305290997;-0.000327271828427911;1 mA
-0.769805908203125;37.7098149047919;-4.058837890625E-05;1;6;0.00581862305290997;-0.000327271828427911;1 mA
-0.7647705078125;37.8105229045376;-3.18634033203125E-05;1;7;0.00581862305290997;-0.000327271828427911;1 mA
-0.759735107421875;37.9112309042833;-2.50335693359375E-05;1;8;0.00581862305290997;-0.000327271828427911;1 mA
-0.75469970703125;38.0119389040291;-1.94671630859375E-05;1;9;0.00581862305290997;-0.000327271828427911;1 mA
-0.749664306640625;38.1126469037748;-1.48773193359375E-05;1;10;0.00581862305290997;-0.000327271828427911;1 mA
-0.74462890625;38.2133549035206;-1.10382080078125E-05;1;11;0.00581862305290997;-0.000327271828427911;1 mA
-0.739593505859375;38.3140629032663;-7.9010009765625E-06;1;12;0.00581862305290997;-0.000327271828427911;1 mA
-0.73455810546875;38.414770903012;-5.16357421874999E-06;1;13;0.00581862305290997;-0.000327271828427911;1 mA
-0.729522705078125;38.5154789027578;-2.80151367187501E-06;1;14;0.00581862305290997;-0.000327271828427911;1 mA
-0.7244873046875;38.6161869025035;-8.11767578124997E-07;1;15;0.00581862305290997;-0.000327271828427911;1 mA
-0.719451904296875;38.7168949022492;1.03149414062501E-06;1;16;0.00581862305290997;-0.000327271828427911;1 mA
-0.71441650390625;38.817602901995;2.64587402343749E-06;1;17;0.00581862305290997;-0.000327271828427911;1 mA
-0.709381103515625;38.9183109017407;4.0283203125E-06;1;18;0.00581862305290997;-0.000327271828427911;1 mA
-0.704345703125;39.0190189014864;5.3436279296875E-06;1;19;0.00581862305290997;-0.000327271828427911;1 mA
-0.699310302734375;39.1197269012322;6.5765380859375E-06;1;20;0.00581862305290997;-0.000327271828427911;1 mA
-0.69427490234375;39.2204349009779;7.7178955078125E-06;1;21;0.00581862305290997;-0.000327271828427911;1 mA
-0.689239501953125;39.3211429007237;8.7493896484375E-06;1;22;0.00581862305290997;-0.000327271828427911;1 mA
-0.6842041015625;39.4218509004694;9.83581542968751E-06;1;23;0.00581862305290997;-0.000327271828427911;1 mA
-0.679168701171875;39.5225589002151;1.090087890625E-05;1;24;0.00581862305290997;-0.000327271828427911;1 mA
-0.67413330078125;39.6232668999609;1.19964599609375E-05;1;25;0.00581862305290997;-0.000327271828427911;1 mA
-0.669097900390625;39.7239748997066;1.30584716796875E-05;1;26;0.00581862305290997;-0.000327271828427911;1 mA
-0.6640625;39.8246828994523;1.41357421875E-05;1;27;0.00581862305290997;-0.000327271828427911;1 mA
-0.659027099609375;39.9253908991981;1.522216796875E-05;1;28;0.00581862305290997;-0.000327271828427911;1 mA
-0.65399169921875;40.0260988989438;1.63726806640625E-05;1;29;0.00581862305290997;-0.000327271828427911;1 mA
-0.648956298828125;40.1268068986896;1.77001953125E-05;1;30;0.00581862305290997;-0.000327271828427911;1 mA
-0.6439208984375;40.2275148984353;1.8939208984375E-05;1;31;0.00581862305290997;-0.000327271828427911;1 mA
-0.638885498046875;40.328222898181;2.03887939453125E-05;1;32;0.00581862305290997;-0.000327271828427911;1 mA
-0.63385009765625;40.4289308979268;2.18475341796875E-05;1;33;0.00581862305290997;-0.000327271828427911;1 mA
-0.628814697265625;40.5296388976725;2.3486328125E-05;1;34;0.00581862305290997;-0.000327271828427911;1 mA
-0.623779296875;40.6303468974182;2.5250244140625E-05;1;35;0.00581862305290997;-0.000327271828427911;1 mA
-0.618743896484375;40.731054897164;2.7166748046875E-05;1;36;0.00581862305290997;-0.000327271828427911;1 mA
-0.61370849609375;40.8317628969097;2.92144775390625E-05;1;37;0.00581862305290997;-0.000327271828427911;1 mA
-0.608673095703125;40.9324708966554;3.13995361328125E-05;1;38;0.00581862305290997;-0.000327271828427911;1 mA
-0.6036376953125;41.0331788964012;3.37188720703125E-05;1;39;0.00581862305290997;-0.000327271828427911;1 mA
-0.598602294921875;41.1338868961469;3.63311767578125E-05;1;40;0.00581862305290997;-0.000327271828427911;1 mA
-0.59356689453125;41.2345948958927;3.8848876953125E-05;1;41;0.00581862305290997;-0.000327271828427911;1 mA
-0.588531494140625;41.3353028956384;4.146728515625E-05;1;42;0.00581862305290997;-0.000327271828427911;1 mA
-0.58349609375;41.4360108953841;4.41802978515625E-05;1;43;0.00581862305290997;-0.000327271828427911;1 mA
-0.578460693359375;41.5367188951299;4.68719482421875E-05;1;44;0.00581862305290997;-0.000327271828427911;1 mA
-0.57342529296875;41.6374268948756;4.9468994140625E-05;1;45;0.00581862305290997;-0.000327271828427911;1 mA
-0.568389892578125;41.7381348946213;5.2001953125E-05;1;46;0.00581862305290997;-0.000327271828427911;1 mA
-0.5633544921875;41.8388428943671;5.450439453125E-05;1;47;0.00581862305290997;-0.000327271828427911;1 mA
-0.558319091796875;41.9395508941128;5.6854248046875E-05;1;48;0.00581862305290997;-0.000327271828427911;1 mA
-0.55328369140625;42.0402588938586;5.9234619140625E-05;1;49;0.00581862305290997;-0.000327271828427911;1 mA
