Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range
0.000152587890625;1776.07235751585;-0.0001773681640625;1;1;0.0036081369034946;-0.00340812029317022;1 mA
0.00030517578125;1776.10287551577;-0.00011663818359375;1;2;0.0036081369034946;-0.00340812029317022;1 mA
0.000457763671875;1776.13339351569;-8.5357666015625E-05;1;3;0.0036081369034946;-0.00340812029317022;1 mA
0.0006103515625;1776.16391151562;-6.65283203125E-05;1;4;0.0036081369034946;-0.00340812029317022;1 mA
0.000762939453125;1776.19442951554;-5.3802490234375E-05;1;5;0.0036081369034946;-0.00340812029317022;1 mA
0.00091552734375;1776.22494751546;-4.51019287109375E-05;1;6;0.0036081369034946;-0.00340812029317022;1 mA
0.001068115234375;1776.25546551539;-3.83331298828125E-05;1;7;0.0036081369034946;-0.00340812029317022;1 mA
0.001220703125;1776.28598351531;-3.32000732421875E-05;1;8;0.0036081369034946;-0.00340812029317022;1 mA
0.001373291015625;1776.31650151523;-2.8900146484375E-05;1;9;0.0036081369034946;-0.00340812029317022;1 mA
0.00152587890625;1776.34701951515;-2.593994140625E-05;1;10;0.0036081369034946;-0.00340812029317022;1 mA
0.001678466796875;1776.37753751508;-2.31689453125E-05;1;11;0.0036081369034946;-0.00340812029317022;1 mA
0.0018310546875;1776.408055515;-2.0977783203125E-05;1;12;0.0036081369034946;-0.00340812029317022;1 mA
0.001983642578125;1776.43857351492;-1.86920166015625E-05;1;13;0.0036081369034946;-0.00340812029317022;1 mA
0.00213623046875;1776.46909151485;-1.7254638671875E-05;1;14;0.0036081369034946;-0.00340812029317022;1 mA
0.002288818359375;1776.49960951477;-1.55731201171875E-05;1;15;0.0036081369034946;-0.00340812029317022;1 mA
0.00244140625;1776.53012751469;-1.43463134765625E-05;1;16;0.0036081369034946;-0.00340812029317022;1 mA
0.002593994140625;1776.56064551462;-1.34674072265625E-05;1;17;0.0036081369034946;-0.00340812029317022;1 mA
0.00274658203125;1776.59116351454;-1.26251220703125E-05;1;18;0.0036081369034946;-0.00340812029317022;1 mA
0.002899169921875;1776.62168151446;-1.1474609375E-05;1;19;0.0036081369034946;-0.00340812029317022;1 mA
0.0030517578125;1776.65219951438;-1.06231689453125E-05;1;20;0.0036081369034946;-0.00340812029317022;1 mA
0.003204345703125;1776.68271751431;-9.857177734375E-06;1;21;0.0036081369034946;-0.00340812029317022;1 mA
0.00335693359375;1776.71323551423;-9.2315673828125E-06;1;22;0.0036081369034946;-0.00340812029317022;1 mA
0.003509521484375;1776.74375351415;-8.8623046875E-06;1;23;0.0036081369034946;-0.00340812029317022;1 mA
0.003662109375;1776.77427151408;-8.13903808593749E-06;1;24;0.0036081369034946;-0.00340812029317022;1 mA
0.003814697265625;1776.804789514;-7.7178955078125E-06;1;25;0.0036081369034946;-0.00340812029317022;1 mA
0.00396728515625;1776.83530751392;-7.10449218750001E-06;1;26;0.0036081369034946;-0.00340812029317022;1 mA
0.004119873046875;1776.86582551385;-6.4971923828125E-06;1;27;0.0036081369034946;-0.00340812029317022;1 mA
0.0042724609375;1776.89634351377;-6.30798339843749E-06;1;28;0.0036081369034946;-0.00340812029317022;1 mA
0.004425048828125;1776.92686151369;-5.9783935546875E-06;1;29;0.0036081369034946;-0.00340812029317022;1 mA
0.00457763671875;1776.95737951361;-5.6610107421875E-06;1;30;0.0036081369034946;-0.00340812029317022;1 mA
0.004730224609375;1776.98789751354;-5.28564453124999E-06;1;31;0.0036081369034946;-0.00340812029317022;1 mA
0.0048828125;1777.01841551346;-4.75158691406249E-06;1;32;0.0036081369034946;-0.00340812029317022;1 mA
0.005035400390625;1777.04893351338;-4.559326171875E-06;1;33;0.0036081369034946;-0.00340812029317022;1 mA
0.00518798828125;1777.07945151331;-4.345703125E-06;1;34;0.0036081369034946;-0.00340812029317022;1 mA
0.005340576171875;1777.10996951323;-4.345703125E-06;1;35;0.0036081369034946;-0.00340812029317022;1 mA
0.0054931640625;1777.14048751315;-4.04052734375E-06;1;36;0.0036081369034946;-0.00340812029317022;1 mA
0.005645751953125;1777.17100551307;-3.814697265625E-06;1;37;0.0036081369034946;-0.00340812029317022;1 mA
0.00579833984375;1777.201523513;-3.36608886718751E-06;1;38;0.0036081369034946;-0.00340812029317022;1 mA
