Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range
-0.695037841796875;3467.87010324447;1.13830566406251E-06;1;1;0.00278989917598665;-0.000902595520019531;1 mA
-0.69000244140625;3467.97081124422;1.88598632812501E-06;1;2;0.00278989917598665;-0.000902595520019531;1 mA
-0.684967041015625;3468.07151924396;2.3651123046875E-06;1;3;0.00278989917598665;-0.000902595520019531;1 mA
-0.679931640625;3468.17222724371;2.81982421875E-06;1;4;0.00278989917598665;-0.000902595520019531;1 mA
-0.674896240234375;3468.27293524345;3.1005859375E-06;1;5;0.00278989917598665;-0.000902595520019531;1 mA
-0.66986083984375;3468.3736432432;3.3538818359375E-06;1;6;0.00278989917598665;-0.000902595520019531;1 mA
-0.664825439453125;3468.47435124294;3.6468505859375E-06;1;7;0.00278989917598665;-0.000902595520019531;1 mA
-0.6597900390625;3468.57505924269;3.802490234375E-06;1;8;0.00278989917598665;-0.000902595520019531;1 mA
-0.654754638671875;3468.67576724244;3.97338867187499E-06;1;9;0.00278989917598665;-0.000902595520019531;1 mA
-0.64971923828125;3468.77647524218;4.1015625E-06;1;10;0.00278989917598665;-0.000902595520019531;1 mA
-0.644683837890625;3468.87718324193;4.290771484375E-06;1;11;0.00278989917598665;-0.000902595520019531;1 mA
-0.6396484375;3468.97789124167;4.425048828125E-06;1;12;0.00278989917598665;-0.000902595520019531;1 mA
-0.634613037109375;3469.07859924142;4.64782714843751E-06;1;13;0.00278989917598665;-0.000902595520019531;1 mA
-0.62957763671875;3469.17930724116;4.779052734375E-06;1;14;0.00278989917598665;-0.000902595520019531;1 mA
-0.624542236328125;3469.28001524091;4.87365722656249E-06;1;15;0.00278989917598665;-0.000902595520019531;1 mA
-0.6195068359375;3469.38072324066;5.023193359375E-06;1;16;0.00278989917598665;-0.000902595520019531;1 mA
-0.614471435546875;3469.4814312404;5.18798828125E-06;1;17;0.00278989917598665;-0.000902595520019531;1 mA
-0.60943603515625;3469.58213924015;5.328369140625E-06;1;18;0.00278989917598665;-0.000902595520019531;1 mA
-0.604400634765625;3469.68284723989;5.4351806640625E-06;1;19;0.00278989917598665;-0.000902595520019531;1 mA
-0.599365234375;3469.78355523964;5.57861328125001E-06;1;20;0.00278989917598665;-0.000902595520019531;1 mA
-0.594329833984375;3469.88426323938;5.68237304687499E-06;1;21;0.00278989917598665;-0.000902595520019531;1 mA
-0.58929443359375;3469.98497123913;5.89599609374999E-06;1;22;0.00278989917598665;-0.000902595520019531;1 mA
-0.584259033203125;3470.08567923888;5.9844970703125E-06;1;23;0.00278989917598665;-0.000902595520019531;1 mA
-0.5792236328125;3470.18638723862;6.1370849609375E-06;1;24;0.00278989917598665;-0.000902595520019531;1 mA
-0.574188232421875;3470.28709523837;6.23474121093751E-06;1;25;0.00278989917598665;-0.000902595520019531;1 mA
-0.56915283203125;3470.38780323811;6.37207031250001E-06;1;26;0.00278989917598665;-0.000902595520019531;1 mA
-0.564117431640625;3470.48851123786;6.57958984375E-06;1;27;0.00278989917598665;-0.000902595520019531;1 mA
-0.55908203125;3470.5892192376;6.70471191406249E-06;1;28;0.00278989917598665;-0.000902595520019531;1 mA
-0.554046630859375;3470.68992723735;6.82373046875E-06;1;29;0.00278989917598665;-0.000902595520019531;1 mA
-0.54901123046875;3470.7906352371;6.96411132812499E-06;1;30;0.00278989917598665;-0.000902595520019531;1 mA
-0.543975830078125;3470.89134323684;7.12890625E-06;1;31;0.00278989917598665;-0.000902595520019531;1 mA
-0.5389404296875;3470.99205123659;7.28454589843749E-06;1;32;0.00278989917598665;-0.000902595520019531;1 mA
-0.533905029296875;3471.09275923633;7.4432373046875E-06;1;33;0.00278989917598665;-0.000902595520019531;1 mA
-0.52886962890625;3471.19346723608;7.57446289062499E-06;1;34;0.00278989917598665;-0.000902595520019531;1 mA
-0.523834228515625;3471.29417523582;7.7239990234375E-06;1;35;0.00278989917598665;-0.000902595520019531;1 mA
-0.518798828125;3471.39488323557;7.9315185546875E-06;1;36;0.00278989917598665;-0.000902595520019531;1 mA
-0.513763427734375;3471.49559123532;8.0902099609375E-06;1;37;0.00278989917598665;-0.000902595520019531;1 mA
-0.50872802734375;3471.59629923506;8.32519531250001E-06;1;38;0.00278989917598665;-0.000902595520019531;1 mA
-0.503692626953125;3471.69700723481;8.526611328125E-06;1;39;0.00278989917598665;-0.000902595520019531;1 mA
-0.4986572265625;3471.79771523455;8.7188720703125E-06;1;40;0.00278989917598665;-0.000902595520019531;1 mA
-0.493621826171875;3471.8984232343;8.93554687500001E-06;1;41;0.00278989917598665;-0.000902595520019531;1 mA
-0.48858642578125;3471.99913123404;9.17968750000001E-06;1;42;0.00278989917598665;-0.000902595520019531;1 mA
-0.483551025390625;3472.09983923379;9.51232910156249E-06;1;43;0.00278989917598665;-0.000902595520019531;1 mA
-0.478515625;3472.20054723354;9.75952148437501E-06;1;44;0.00278989917598665;-0.000902595520019531;1 mA
-0.473480224609375;3472.30125523328;1.00830078125E-05;1;45;0.00278989917598665;-0.000902595520019531;1 mA
-0.46844482421875;3472.40196323303;1.04156494140625E-05;1;46;0.00278989917598665;-0.000902595520019531;1 mA
-0.463409423828125;3472.50267123277;1.07177734375E-05;1;47;0.00278989917598665;-0.000902595520019531;1 mA
-0.4583740234375;3472.60337923252;1.11114501953125E-05;1;48;0.00278989917598665;-0.000902595520019531;1 mA
-0.453338623046875;3472.70408723227;1.14715576171875E-05;1;49;0.00278989917598665;-0.000902595520019531;1 mA
