Potential applied (V);Time (s);WE(1).Current (A);Index;Current range
-0.899810791015625;197.985241500135;-0.00148651123046875;1;1 mA
-0.899658203125;198.015759500058;-0.00148681640625;2;1 mA
-0.899505615234375;198.046277499981;-0.0014862060546875;3;1 mA
-0.89935302734375;198.076795499904;-0.0014862060546875;4;1 mA
-0.899200439453125;198.107313499827;-0.00148651123046875;5;1 mA
-0.8990478515625;198.13783149975;-0.0014892578125;6;1 mA
-0.898895263671875;198.168349499673;-0.00148956298828125;7;1 mA
-0.89874267578125;198.198867499596;-0.0014874267578125;8;1 mA
-0.898590087890625;198.229385499519;-0.00148529052734375;9;1 mA
-0.8984375;198.259903499442;-0.001484375;10;1 mA
-0.898284912109375;198.290421499365;-0.0014849853515625;11;1 mA
-0.89813232421875;198.320939499288;-0.00148590087890625;12;1 mA
-0.897979736328125;198.351457499211;-0.00148529052734375;13;1 mA
-0.8978271484375;198.381975499134;-0.0014849853515625;14;1 mA
-0.897674560546875;198.412493499057;-0.00148468017578125;15;1 mA
-0.89752197265625;198.44301149898;-0.0014837646484375;16;1 mA
-0.897369384765625;198.473529498903;-0.001483154296875;17;1 mA
-0.897216796875;198.504047498825;-0.00148345947265625;18;1 mA
-0.897064208984375;198.534565498748;-0.001483154296875;19;1 mA
-0.89691162109375;198.565083498671;-0.0014825439453125;20;1 mA
-0.896759033203125;198.595601498594;-0.00148101806640625;21;1 mA
-0.8966064453125;198.626119498517;-0.0014813232421875;22;1 mA
-0.896453857421875;198.65663749844;-0.00148284912109375;23;1 mA
-0.89630126953125;198.687155498363;-0.00148284912109375;24;1 mA
-0.896148681640625;198.717673498286;-0.00148223876953125;25;1 mA
-0.89599609375;198.748191498209;-0.0014813232421875;26;1 mA
-0.895843505859375;198.778709498132;-0.00148162841796875;27;1 mA
-0.89569091796875;198.809227498055;-0.0014825439453125;28;1 mA
-0.895538330078125;198.839745497978;-0.0014825439453125;29;1 mA
-0.8953857421875;198.870263497901;-0.00148101806640625;30;1 mA
-0.895233154296875;198.900781497824;-0.00148040771484375;31;1 mA
-0.89508056640625;198.931299497747;-0.00148162841796875;32;1 mA
-0.894927978515625;198.96181749767;-0.00148193359375;33;1 mA
-0.894775390625;198.992335497593;-0.0014813232421875;34;1 mA
-0.894622802734375;199.022853497516;-0.00148162841796875;35;1 mA
-0.89447021484375;199.053371497439;-0.00148223876953125;36;1 mA
-0.894317626953125;199.083889497362;-0.00148040771484375;37;1 mA
-0.8941650390625;199.114407497284;-0.00147979736328125;38;1 mA
-0.894012451171875;199.144925497207;-0.001480712890625;39;1 mA
-0.89385986328125;199.17544349713;-0.00148101806640625;40;1 mA
-0.893707275390625;199.205961497053;-0.00148040771484375;41;1 mA
-0.8935546875;199.236479496976;-0.0014801025390625;42;1 mA
-0.893402099609375;199.266997496899;-0.00148040771484375;43;1 mA
-0.89324951171875;199.297515496822;-0.0014794921875;44;1 mA
-0.893096923828125;199.328033496745;-0.00148284912109375;45;1 mA
-0.8929443359375;199.358551496668;-0.0014874267578125;46;1 mA
-0.892791748046875;199.389069496591;-0.00148773193359375;47;1 mA
-0.89263916015625;199.419587496514;-0.00148590087890625;48;1 mA
-0.892486572265625;199.450105496437;-0.0014837646484375;49;1 mA
-0.892333984375;199.48062349636;-0.0014837646484375;50;1 mA
-0.892181396484375;199.511141496283;-0.00148284912109375;51;1 mA
-0.89202880859375;199.541659496206;-0.0014813232421875;52;1 mA
-0.891876220703125;199.572177496129;-0.00147979736328125;53;1 mA
-0.8917236328125;199.602695496052;-0.00147979736328125;54;1 mA
-0.891571044921875;199.633213495975;-0.00148162841796875;55;1 mA
-0.89141845703125;199.663731495898;-0.0014813232421875;56;1 mA
-0.891265869140625;199.69424949582;-0.00148101806640625;57;1 mA
-0.89111328125;199.724767495743;-0.00148101806640625;58;1 mA
-0.890960693359375;199.755285495666;-0.00148101806640625;59;1 mA
-0.89080810546875;199.785803495589;-0.00148040771484375;60;1 mA
-0.890655517578125;199.816321495512;-0.0014794921875;61;1 mA
-0.8905029296875;199.846839495435;-0.0014794921875;62;1 mA
