Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range;User events
-0.79498291015625;25.1130049365958;-0.00023858642578125;1;1;0.00571469508111477;-0.000504006575793028;1 mA;
-0.789947509765625;25.2137129363415;-0.000154449462890625;1;2;0.00571469508111477;-0.000504006575793028;1 mA;
-0.784912109375;25.3144209360872;-0.0001114501953125;1;3;0.00571469508111477;-0.000504006575793028;1 mA;
-0.779876708984375;25.415128935833;-8.5205078125E-05;1;4;0.00571469508111477;-0.000504006575793028;1 mA;
-0.77484130859375;25.5158369355787;-6.7535400390625E-05;1;5;0.00571469508111477;-0.000504006575793028;1 mA;
-0.769805908203125;25.6165449353244;-5.45654296875E-05;1;6;0.00571469508111477;-0.000504006575793028;1 mA;
-0.7647705078125;25.7172529350702;-4.5196533203125E-05;1;7;0.00571469508111477;-0.000504006575793028;1 mA;
-0.759735107421875;25.8179609348159;-3.75335693359375E-05;1;8;0.00571469508111477;-0.000504006575793028;1 mA;
-0.75469970703125;25.9186689345617;-3.14544677734375E-05;1;9;0.00571469508111477;-0.000504006575793028;1 mA;
-0.749664306640625;26.0193769343074;-2.642822265625E-05;1;10;0.00571469508111477;-0.000504006575793028;1 mA;
-0.74462890625;26.1200849340531;-2.2216796875E-05;1;11;0.00571469508111477;-0.000504006575793028;1 mA;
-0.739593505859375;26.2207929337989;-1.87835693359375E-05;1;12;0.00571469508111477;-0.000504006575793028;1 mA;
-0.73455810546875;26.3215009335446;-1.5618896484375E-05;1;13;0.00571469508111477;-0.000504006575793028;1 mA;
-0.729522705078125;26.4222089332903;-1.3043212890625E-05;1;14;0.00571469508111477;-0.000504006575793028;1 mA;
-0.7244873046875;26.5229169330361;-1.0614013671875E-05;1;15;0.00571469508111477;-0.000504006575793028;1 mA;
-0.719451904296875;26.6236249327818;-8.7860107421875E-06;1;16;0.00571469508111477;-0.000504006575793028;1 mA;
-0.71441650390625;26.7243329325275;-7.10144042968749E-06;1;17;0.00571469508111477;-0.000504006575793028;1 mA;
-0.709381103515625;26.8250409322733;-5.3253173828125E-06;1;18;0.00571469508111477;-0.000504006575793028;1 mA;
-0.704345703125;26.925748932019;-4.2266845703125E-06;1;19;0.00571469508111477;-0.000504006575793028;1 mA;
-0.699310302734375;27.0264569317648;-2.9571533203125E-06;1;20;0.00571469508111477;-0.000504006575793028;1 mA;
-0.69427490234375;27.1271649315105;-1.64794921875E-06;1;21;0.00571469508111477;-0.000504006575793028;1 mA;
-0.689239501953125;27.2278729312562;-4.85229492187503E-07;1;22;0.00571469508111477;-0.000504006575793028;1 mA;
-0.6842041015625;27.328580931002;3.08227539062497E-07;1;23;0.00571469508111477;-0.000504006575793028;1 mA;
-0.679168701171875;27.4292889307477;1.21459960937501E-06;1;24;0.00571469508111477;-0.000504006575793028;1 mA;
-0.67413330078125;27.5299969304934;1.94396972656249E-06;1;25;0.00571469508111477;-0.000504006575793028;1 mA;
-0.669097900390625;27.6307049302392;2.78320312499999E-06;1;26;0.00571469508111477;-0.000504006575793028;1 mA;
-0.6640625;27.7314129299849;3.704833984375E-06;1;27;0.00571469508111477;-0.000504006575793028;1 mA;
-0.659027099609375;27.8321209297307;4.4677734375E-06;1;28;0.00571469508111477;-0.000504006575793028;1 mA;
-0.65399169921875;27.9328289294764;5.01708984375E-06;1;29;0.00571469508111477;-0.000504006575793028;1 mA;
-0.648956298828125;28.0335369292221;5.71289062499999E-06;1;30;0.00571469508111477;-0.000504006575793028;1 mA;
-0.6439208984375;28.1342449289679;6.09436035156249E-06;1;31;0.00571469508111477;-0.000504006575793028;1 mA;
-0.638885498046875;28.2349529287136;6.87255859374999E-06;1;32;0.00571469508111477;-0.000504006575793028;1 mA;
-0.63385009765625;28.3356609284593;7.4005126953125E-06;1;33;0.00571469508111477;-0.000504006575793028;1 mA;
-0.628814697265625;28.4363689282051;7.92236328125E-06;1;34;0.00571469508111477;-0.000504006575793028;1 mA;
-0.623779296875;28.5370769279508;8.5113525390625E-06;1;35;0.00571469508111477;-0.000504006575793028;1 mA;
-0.618743896484375;28.6377849276965;8.8165283203125E-06;1;36;0.00571469508111477;-0.000504006575793028;1 mA;
-0.61370849609375;28.7384929274423;9.38720703125E-06;1;37;0.00571469508111477;-0.000504006575793028;1 mA;
-0.608673095703125;28.839200927188;9.8876953125E-06;1;38;0.00571469508111477;-0.000504006575793028;1 mA;
-0.6036376953125;28.9399089269338;1.04217529296875E-05;1;39;0.00571469508111477;-0.000504006575793028;1 mA;
-0.598602294921875;29.0406169266795;1.0736083984375E-05;1;40;0.00571469508111477;-0.000504006575793028;1 mA;
-0.59356689453125;29.1413249264252;1.14898681640625E-05;1;41;0.00571469508111477;-0.000504006575793028;1 mA;
-0.588531494140625;29.242032926171;1.23291015625E-05;1;42;0.00571469508111477;-0.000504006575793028;1 mA;
-0.58349609375;29.3427409259167;1.28875732421875E-05;1;43;0.00571469508111477;-0.000504006575793028;1 mA;
-0.578460693359375;29.4434489256624;1.3519287109375E-05;1;44;0.00571469508111477;-0.000504006575793028;1 mA;
-0.57342529296875;29.5441569254082;1.41998291015625E-05;1;45;0.00571469508111477;-0.000504006575793028;1 mA;
-0.568389892578125;29.6448649251539;1.49505615234375E-05;1;46;0.00571469508111477;-0.000504006575793028;1 mA;
-0.5633544921875;29.7455729248996;1.58294677734375E-05;1;47;0.00571469508111477;-0.000504006575793028;1 mA;
-0.558319091796875;29.8462809246454;1.6705322265625E-05;1;48;0.00571469508111477;-0.000504006575793028;1 mA;
-0.55328369140625;29.9469889243911;1.759033203125E-05;1;49;0.00571469508111477;-0.000504006575793028;1 mA;
-0.548248291015625;30.0476969241369;1.84814453125E-05;1;50;0.00571469508111477;-0.000504006575793028;1 mA;
-0.543212890625;30.1484049238826;1.94915771484375E-05;1;51;0.00571469508111477;-0.000504006575793028;1 mA;
-0.538177490234375;30.2491129236283;2.0654296875E-05;1;52;0.00571469508111477;-0.000504006575793028;1 mA;
-0.53314208984375;30.3498209233741;2.177734375E-05;1;53;0.00571469508111477;-0.000504006575793028;1 mA;
-0.528106689453125;30.4505289231198;2.30255126953125E-05;1;54;0.00571469508111477;-0.000504006575793028;1 mA;
-0.5230712890625;30.5512369228655;2.41943359375E-05;1;55;0.00571469508111477;-0.000504006575793028;1 mA;
-0.518035888671875;30.6519449226113;2.57904052734375E-05;1;56;0.00571469508111477;-0.000504006575793028;1 mA;
-0.51300048828125;30.752652922357;2.70660400390625E-05;1;57;0.00571469508111477;-0.000504006575793028;1 mA;
-0.507965087890625;30.8533609221028;2.86712646484375E-05;1;58;0.00571469508111477;-0.000504006575793028;1 mA;
-0.5029296875;30.9540689218485;3.0316162109375E-05;1;59;0.00571469508111477;-0.000504006575793028;1 mA;
-0.497894287109375;31.0547769215942;3.1939697265625E-05;1;60;0.00571469508111477;-0.000504006575793028;1 mA;
-0.49285888671875;31.15548492134;3.35296630859375E-05;1;61;0.00571469508111477;-0.000504006575793028;1 mA;
-0.487823486328125;31.2561929210857;3.54827880859375E-05;1;62;0.00571469508111477;-0.000504006575793028;1 mA;
-0.4827880859375;31.3569009208314;3.70849609375E-05;1;63;0.00571469508111477;-0.000504006575793028;1 mA;
-0.477752685546875;31.4576089205772;3.92974853515625E-05;1;64;0.00571469508111477;-0.000504006575793028;1 mA;
-0.47271728515625;31.5583169203229;4.15008544921875E-05;1;65;0.00571469508111477;-0.000504006575793028;1 mA;
-0.467681884765625;31.6590249200686;4.35760498046875E-05;1;66;0.00571469508111477;-0.000504006575793028;1 mA;
-0.462646484375;31.7597329198144;4.56390380859375E-05;1;67;0.00571469508111477;-0.000504006575793028;1 mA;
-0.457611083984375;31.8604409195601;4.7882080078125E-05;1;68;0.00571469508111477;-0.000504006575793028;1 mA;
-0.45257568359375;31.9611489193059;4.998779296875E-05;1;69;0.00571469508111477;-0.000504006575793028;1 mA;
-0.447540283203125;32.0618569190516;5.2337646484375E-05;1;70;0.00571469508111477;-0.000504006575793028;1 mA;
-0.4425048828125;32.1625649187973;5.46875E-05;1;71;0.00571469508111477;-0.000504006575793028;1 mA;
-0.437469482421875;32.2632729185431;5.70068359375E-05;1;72;0.00571469508111477;-0.000504006575793028;1 mA;
-0.43243408203125;32.3639809182888;5.950927734375E-05;1;73;0.00571469508111477;-0.000504006575793028;1 mA;
-0.427398681640625;32.4646889180345;6.2103271484375E-05;1;74;0.00571469508111477;-0.000504006575793028;1 mA;
-0.42236328125;32.5653969177803;6.451416015625E-05;1;75;0.00571469508111477;-0.000504006575793028;1 mA;
-0.417327880859375;32.666104917526;6.695556640625E-05;1;76;0.00571469508111477;-0.000504006575793028;1 mA;
-0.41229248046875;32.7668129172718;6.93359375E-05;1;77;0.00571469508111477;-0.000504006575793028;1 mA;
-0.407257080078125;32.8675209170175;7.16552734375E-05;1;78;0.00571469508111477;-0.000504006575793028;1 mA;
-0.4022216796875;32.9682289167632;7.4005126953125E-05;1;79;0.00571469508111477;-0.000504006575793028;1 mA;
-0.397186279296875;33.068936916509;7.623291015625E-05;1;80;0.00571469508111477;-0.000504006575793028;1 mA;
-0.39215087890625;33.1696449162547;7.867431640625E-05;1;81;0.00571469508111477;-0.000504006575793028;1 mA;
-0.387115478515625;33.2703529160004;8.0718994140625E-05;1;82;0.00571469508111477;-0.000504006575793028;1 mA;
-0.382080078125;33.3710609157462;8.282470703125E-05;1;83;0.00571469508111477;-0.000504006575793028;1 mA;
-0.377044677734375;33.4717689154919;8.48388671875E-05;1;84;0.00571469508111477;-0.000504006575793028;1 mA;
-0.37200927734375;33.5724769152376;8.6669921875E-05;1;85;0.00571469508111477;-0.000504006575793028;1 mA;
-0.366973876953125;33.6731849149834;8.819580078125E-05;1;86;0.00571469508111477;-0.000504006575793028;1 mA;
-0.3619384765625;33.7738929147291;9.0179443359375E-05;1;87;0.00571469508111477;-0.000504006575793028;1 mA;
-0.356903076171875;33.8746009144749;9.173583984375E-05;1;88;0.00571469508111477;-0.000504006575793028;1 mA;
-0.35186767578125;33.9753089142206;9.3170166015625E-05;1;89;0.00571469508111477;-0.000504006575793028;1 mA;
-0.346832275390625;34.0760169139663;9.4482421875E-05;1;90;0.00571469508111477;-0.000504006575793028;1 mA;
-0.341796875;34.1767249137121;9.5733642578125E-05;1;91;0.00571469508111477;-0.000504006575793028;1 mA;
-0.336761474609375;34.2774329134578;9.6832275390625E-05;1;92;0.00571469508111477;-0.000504006575793028;1 mA;
-0.33172607421875;34.3781409132035;9.8052978515625E-05;1;93;0.00571469508111477;-0.000504006575793028;1 mA;
-0.326690673828125;34.4788489129493;9.89990234375E-05;1;94;0.00571469508111477;-0.000504006575793028;1 mA;
-0.3216552734375;34.579556912695;0.000100006103515625;1;95;0.00571469508111477;-0.000504006575793028;1 mA;
-0.316619873046875;34.6802649124407;0.00010125732421875;1;96;0.00571469508111477;-0.000504006575793028;1 mA;
-0.31158447265625;34.7809729121865;0.000102386474609375;1;97;0.00571469508111477;-0.000504006575793028;1 mA;
-0.306549072265625;34.8816809119322;0.00010321044921875;1;98;0.00571469508111477;-0.000504006575793028;1 mA;
-0.301513671875;34.982388911678;0.00010443115234375;1;99;0.00571469508111477;-0.000504006575793028;1 mA;
-0.296478271484375;35.0830969114237;0.000105316162109375;1;100;0.00571469508111477;-0.000504006575793028;1 mA;
-0.29144287109375;35.1838049111694;0.000106292724609375;1;101;0.00571469508111477;-0.000504006575793028;1 mA;
-0.286407470703125;35.2845129109152;0.000107513427734375;1;102;0.00571469508111477;-0.000504006575793028;1 mA;
-0.2813720703125;35.3852209106609;0.000108489990234375;1;103;0.00571469508111477;-0.000504006575793028;1 mA;
-0.276336669921875;35.4859289104066;0.000109893798828125;1;104;0.00571469508111477;-0.000504006575793028;1 mA;
-0.27130126953125;35.5866369101524;0.000111053466796875;1;105;0.00571469508111477;-0.000504006575793028;1 mA;
-0.266265869140625;35.6873449098981;0.00011260986328125;1;106;0.00571469508111477;-0.000504006575793028;1 mA;
-0.26123046875;35.7880529096439;0.000114105224609375;1;107;0.00571469508111477;-0.000504006575793028;1 mA;
-0.256195068359375;35.8887609093896;0.000115692138671875;1;108;0.00571469508111477;-0.000504006575793028;1 mA;
-0.25115966796875;35.9894689091353;0.000117279052734375;1;109;0.00571469508111477;-0.000504006575793028;1 mA;
-0.246124267578125;36.0901769088811;0.000119171142578125;1;110;0.00571469508111477;-0.000504006575793028;1 mA;
-0.2410888671875;36.1908849086268;0.0001209716796875;1;111;0.00571469508111477;-0.000504006575793028;1 mA;
-0.236053466796875;36.2915929083725;0.00012298583984375;1;112;0.00571469508111477;-0.000504006575793028;1 mA;
-0.23101806640625;36.3923009081183;0.000125;1;113;0.00571469508111477;-0.000504006575793028;1 mA;
-0.225982666015625;36.493008907864;0.00012725830078125;1;114;0.00571469508111477;-0.000504006575793028;1 mA;
-0.220947265625;36.5937169076097;0.000129638671875;1;115;0.00571469508111477;-0.000504006575793028;1 mA;
-0.215911865234375;36.6944249073555;0.000131988525390625;1;116;0.00571469508111477;-0.000504006575793028;1 mA;
-0.21087646484375;36.7951329071012;0.00013427734375;1;117;0.00571469508111477;-0.000504006575793028;1 mA;
-0.205841064453125;36.895840906847;0.000136932373046875;1;118;0.00571469508111477;-0.000504006575793028;1 mA;
-0.2008056640625;36.9965489065927;0.000139984130859375;1;119;0.00571469508111477;-0.000504006575793028;1 mA;
-0.195770263671875;37.0972569063384;0.00014300537109375;1;120;0.00571469508111477;-0.000504006575793028;1 mA;
-0.19073486328125;37.1979649060842;0.000146026611328125;1;121;0.00571469508111477;-0.000504006575793028;1 mA;
-0.185699462890625;37.2986729058299;0.000149566650390625;1;122;0.00571469508111477;-0.000504006575793028;1 mA;
-0.1806640625;37.3993809055756;0.000153076171875;1;123;0.00571469508111477;-0.000504006575793028;1 mA;
-0.175628662109375;37.5000889053214;0.00015673828125;1;124;0.00571469508111477;-0.000504006575793028;1 mA;
-0.17059326171875;37.6007969050671;0.000160614013671875;1;125;0.00571469508111477;-0.000504006575793028;1 mA;
-0.165557861328125;37.7015049048129;0.000164794921875;1;126;0.00571469508111477;-0.000504006575793028;1 mA;
-0.1605224609375;37.8022129045586;0.00016912841796875;1;127;0.00571469508111477;-0.000504006575793028;1 mA;
-0.155487060546875;37.9029209043043;0.000173919677734375;1;128;0.00571469508111477;-0.000504006575793028;1 mA;
-0.15045166015625;38.0036289040501;0.000178558349609375;1;129;0.00571469508111477;-0.000504006575793028;1 mA;
-0.145416259765625;38.1043369037958;0.00018359375;1;130;0.00571469508111477;-0.000504006575793028;1 mA;
-0.140380859375;38.2050449035415;0.0001890869140625;1;131;0.00571469508111477;-0.000504006575793028;1 mA;
-0.135345458984375;38.3057529032873;0.000194305419921875;1;132;0.00571469508111477;-0.000504006575793028;1 mA;
-0.13031005859375;38.406460903033;0.000200225830078125;1;133;0.00571469508111477;-0.000504006575793028;1 mA;
-0.125274658203125;38.5071689027787;0.00020654296875;1;134;0.00571469508111477;-0.000504006575793028;1 mA;
-0.1202392578125;38.6078769025245;0.000213836669921875;1;135;0.00571469508111477;-0.000504006575793028;1 mA;
-0.115203857421875;38.7085849022702;0.000222381591796875;1;136;0.00571469508111477;-0.000504006575793028;1 mA;
-0.11016845703125;38.809292902016;0.000233428955078125;1;137;0.00571469508111477;-0.000504006575793028;1 mA;
-0.105133056640625;38.9100009017617;0.00024798583984375;1;138;0.00571469508111477;-0.000504006575793028;1 mA;
-0.10009765625;39.0107089015074;0.000266754150390625;1;139;0.00571469508111477;-0.000504006575793028;1 mA;
-0.095062255859375;39.1114169012532;0.000291717529296875;1;140;0.00571469508111477;-0.000504006575793028;1 mA;
-0.09002685546875;39.2121249009989;0.000323455810546875;1;141;0.00571469508111477;-0.000504006575793028;1 mA;
-0.084991455078125;39.3128329007446;0.000360626220703125;1;142;0.00571469508111477;-0.000504006575793028;1 mA;
-0.0799560546875;39.4135409004904;0.0003997802734375;1;143;0.00571469508111477;-0.000504006575793028;1 mA;
