Column 1;Column 2 (V/s);Column 3 (V);Index;Time (s);Potential applied (V);WE(1).Current (A)
0.8;0.005;0.0002;1;6728.21887901288;-0.899810791015625;-0.00083648681640625
;;;2;6728.2493970128;-0.899658203125;-0.000836181640625
;;;3;6728.27991501273;-0.899505615234375;-0.000836181640625
;;;4;6728.31043301265;-0.89935302734375;-0.00083587646484375
;;;5;6728.34095101257;-0.899200439453125;-0.0008349609375
;;;6;6728.3714690125;-0.8990478515625;-0.00083526611328125
;;;7;6728.40198701242;-0.898895263671875;-0.00083526611328125
;;;8;6728.43250501234;-0.89874267578125;-0.00083526611328125
;;;9;6728.46302301226;-0.898590087890625;-0.00083526611328125
;;;10;6728.49354101219;-0.8984375;-0.00083404541015625
;;;11;6728.52405901211;-0.898284912109375;-0.0008343505859375
;;;12;6728.55457701203;-0.89813232421875;-0.000833740234375
;;;13;6728.58509501196;-0.897979736328125;-0.0008343505859375
;;;14;6728.61561301188;-0.8978271484375;-0.0008349609375
;;;15;6728.6461310118;-0.897674560546875;-0.0008343505859375
;;;16;6728.67664901172;-0.89752197265625;-0.00083404541015625
;;;17;6728.70716701165;-0.897369384765625;-0.0008331298828125
;;;18;6728.73768501157;-0.897216796875;-0.00083343505859375
;;;19;6728.76820301149;-0.897064208984375;-0.0008343505859375
;;;20;6728.79872101142;-0.89691162109375;-0.000833740234375
;;;21;6728.82923901134;-0.896759033203125;-0.00083404541015625
;;;22;6728.85975701126;-0.8966064453125;-0.00083282470703125
;;;23;6728.89027501118;-0.896453857421875;-0.00083251953125
;;;24;6728.92079301111;-0.89630126953125;-0.00083282470703125
;;;25;6728.95131101103;-0.896148681640625;-0.00083221435546875
;;;26;6728.98182901095;-0.89599609375;-0.00083251953125
;;;27;6729.01234701088;-0.895843505859375;-0.00083160400390625
;;;28;6729.0428650108;-0.89569091796875;-0.00083099365234375
;;;29;6729.07338301072;-0.895538330078125;-0.00083038330078125
;;;30;6729.10390101065;-0.8953857421875;-0.000830078125
;;;31;6729.13441901057;-0.895233154296875;-0.00083099365234375
;;;32;6729.16493701049;-0.89508056640625;-0.0008306884765625
;;;33;6729.19545501041;-0.894927978515625;-0.0008306884765625
;;;34;6729.22597301034;-0.894775390625;-0.0008294677734375
;;;35;6729.25649101026;-0.894622802734375;-0.00082916259765625
;;;36;6729.28700901018;-0.89447021484375;-0.00082977294921875
;;;37;6729.31752701011;-0.894317626953125;-0.00082977294921875
;;;38;6729.34804501003;-0.8941650390625;-0.0008306884765625
;;;39;6729.37856300995;-0.894012451171875;-0.000830078125
;;;40;6729.40908100988;-0.89385986328125;-0.000830078125
;;;41;6729.4395990098;-0.893707275390625;-0.000830078125
;;;42;6729.47011700972;-0.8935546875;-0.00082977294921875
;;;43;6729.50063500964;-0.893402099609375;-0.0008306884765625
;;;44;6729.53115300957;-0.89324951171875;-0.0008306884765625
;;;45;6729.56167100949;-0.893096923828125;-0.00083099365234375
;;;46;6729.59218900941;-0.8929443359375;-0.000831298828125
;;;47;6729.62270700934;-0.892791748046875;-0.000830078125
;;;48;6729.65322500926;-0.89263916015625;-0.00082977294921875
;;;49;6729.68374300918;-0.892486572265625;-0.00082855224609375
