Column 1;Column 2 (V);Index;Corrected time (s);WE(1).Current (A)
2;0.113;1;0;1.0986328125E-06
;;2;0.999999997475243;7.87353515625006E-07
;;3;1.99999999495049;6.34765625000006E-07
;;4;2.99999999242573;4.76074218749997E-07
;;5;3.99999998990097;5.40161132812495E-07
;;6;4.99999998737621;4.39453125000003E-07
;;7;5.99999998485146;3.509521484375E-07
;;8;6.9999999823267;2.68554687500006E-07
;;9;7.99999997980194;2.56347656250003E-07
;;10;8.99999997727718;1.86157226562497E-07
;;11;9.99999997475243;1.34277343750003E-07
;;12;10.9999999722277;1.12915039062494E-07
;;13;11.9999999697029;7.01904296875056E-08
;;14;12.9999999671782;-4.27246093750028E-08
;;15;13.9999999646534;1.52587890625E-08
;;16;14.9999999621286;-2.74658203125028E-08
;;17;15.9999999596039;9.15527343750555E-09
;;18;16.9999999570791;-4.57763671875E-08
;;19;17.9999999545544;-5.18798828124945E-08
;;20;18.9999999520296;-1.43432617187494E-07
;;21;19.9999999495049;-1.55639648437497E-07
;;22;20.9999999469801;-1.12915039062494E-07
;;23;21.9999999444553;-1.00708007812506E-07
;;24;22.9999999419306;-1.92260742187506E-07
;;25;23.9999999394058;-1.86157226562497E-07
;;26;24.9999999368811;-2.16674804687497E-07
;;27;25.9999999343563;-2.10571289062503E-07
;;28;26.9999999318316;-2.288818359375E-07
;;29;27.9999999293068;-2.13623046875E-07
;;30;28.999999926782;-2.34985351562494E-07
