Column 1;Column 2 (V);Index;Corrected time (s);WE(1).Current (A)
2;0.213;1;0;7.62939453125E-06
;;2;0.999999997475243;6.89697265625E-06
;;3;1.99999999495049;6.55517578125001E-06
;;4;2.99999999242573;6.35681152343751E-06
;;5;3.99999998990097;6.20422363281251E-06
;;6;4.99999998737621;5.9967041015625E-06
;;7;5.99999998485146;5.938720703125E-06
;;8;6.9999999823267;5.8441162109375E-06
;;9;7.99999997980194;5.65185546874999E-06
;;10;8.99999997727718;5.5572509765625E-06
;;11;9.99999997475243;5.4931640625E-06
;;12;10.9999999722277;5.4168701171875E-06
;;13;11.9999999697029;5.28564453124999E-06
;;14;12.9999999671782;5.2032470703125E-06
;;15;13.9999999646534;5.1727294921875E-06
;;16;14.9999999621286;5.02929687500001E-06
;;17;15.9999999596039;4.962158203125E-06
;;18;16.9999999570791;4.9163818359375E-06
;;19;17.9999999545544;4.80041503906251E-06
;;20;18.9999999520296;4.742431640625E-06
;;21;19.9999999495049;4.70581054687499E-06
;;22;20.9999999469801;4.58679199218751E-06
;;23;21.9999999444553;4.5166015625E-06
;;24;22.9999999419306;4.498291015625E-06
;;25;23.9999999394058;4.43420410156251E-06
;;26;24.9999999368811;4.364013671875E-06
;;27;25.9999999343563;4.376220703125E-06
;;28;26.9999999318316;4.29382324218749E-06
;;29;27.9999999293068;4.2388916015625E-06
;;30;28.999999926782;4.1961669921875E-06
